Brand,Model,Maximum PDR,Low Light ISO,Low Light EV,Read Noise ISO,Sensor Width,Sensor Height,Pixel Width,Pixel Height,Mount
Pentax,K-5 II,10.5,1381,8.79,,23.7,15.7,4928,3264,K
Sony,a580,9.98,1604,9,,23.5,15.6,6024,4024,A
Canon,EOS 750D,8.93,1633,9.03,,22.3,14.9,6024,4022,EF-S
Nikon,D3200,9.89,1594,8.99,6400,23.2,15.4,6080,4012,F DX
Pentax,K-3,10.28,1573,8.98,20366,23.5,15.6,6080,4032,K
Panasonic,Lumix DMC-G80,9.11,1262,8.66,,17.3,13.0,4608,3464,Four Thirds
Pentax,K-01,9.68,1314,8.72,,23.7,15.7,4936,3272,K
Pentax,K-50,9.74,1301,8.7,,23.7,15.7,4936,3272,K
Pentax,K-500,9.75,1300,8.7,,23.7,15.7,4936,3272,K
Pentax,K-30,9.73,1283,8.68,,23.7,15.7,4936,3272,K
Canon,EOS 760D,8.91,1538,8.94,,22.3,14.9,6024,4022,EF-S
Panasonic,Lumix DMC-GX7,9.27,1176,8.56,6400,17.3,13.0,4608,3464,Four Thirds
Sony,a58,9.29,1274,8.67,,23.5,15.6,5496,3656,A
Panasonic,Lumix DMC-GM5,9.69,1109,8.47,6400,17.3,13.0,4612,3468,Four Thirds
Pentax,K-3 II,10.04,1348,8.75,,23.5,15.6,6080,4032,K
Canon,EOS 700D,8.47,1241,8.63,12800,22.3,14.9,5208,3476,EF-S
Sony,a560,8.92,1078,8.43,,23.4,15.6,4592,3056,A
Canon,EOS 450D,8.13,1067,8.42,1600,22.2,14.8,4312,2876,EF-S
Fujifilm,GFX 50S,11.9,7853,11.3,1600,43.8,32.9,8256,6192,G
Pentax,K-S1,9.71,1190,8.57,,23.5,15.6,5504,3664,K
Nikon,D300,8.92,994,8.31,1600,23.6,15.8,4352,2868,F DX
Canon,EOS 500D,8.45,1109,8.47,,22.3,14.9,4770,3153,EF-S
Sony,a55,9.21,1088,8.44,,23.5,15.6,4912,3264,A
Canon,EOS 60D,8.38,1169,8.55,6400,22.3,14.9,5194,3464,EF-S
Nikon,D3100,8.27,1053,8.4,3200,23.1,15.4,4672,3084,F DX
Sony,a57,9.6,1078,8.43,,23.5,15.6,4928,3276,A
Canon,EOS 550D,8.47,1161,8.54,,22.3,14.9,5184,3456,EF-S
